qubits,num_iters,num_states,fidelity
9,74,75,0.8279238807690963
9,75,76,0.8588520427649569
9,76,77,0.8693765500408479
9,77,78,0.824564698055038
9,78,79,0.866569873345606
9,79,80,0.8389512752604301
9,80,81,0.8473595275395648
9,81,82,0.872301380248167
9,82,83,0.9155208683643855
10,1,2,0.34987040396292163
10,2,3,0.24452257404562847
10,3,4,0.3242709945051263
10,4,5,0.11306008465988149
10,5,6,0.29462811879046863
10,6,7,0.15789943709584323
10,7,8,0.30322367723151794
10,8,9,0.14083193085690893
10,9,10,0.07809109286946417
10,10,11,0.3143820958172453
10,11,12,0.16563545498025134
10,12,13,0.11790122942834987
10,13,14,0.18993807985764602
10,14,15,0.28599969417773824
10,15,16,0.2561291168859157
10,16,17,0.25942025518838685
10,17,18,0.3543866375580739
10,18,19,0.33623185407471107
10,19,20,0.32578417897323103
10,20,21,0.3835632249443131
10,21,22,0.2564072527463592
10,22,23,0.28866006231879693
10,23,24,0.2541158017793135
10,24,25,0.2983886320646896
10,25,26,0.28585641621761426
10,26,27,0.40891183505602324
10,27,28,0.3196034100938572
10,28,29,0.34735406601528585
10,29,30,0.35052505779502513
10,30,31,0.3145859689938132
10,31,32,0.3802650764383986
10,32,33,0.3622111349850981
10,33,34,0.4160649577383473
10,34,35,0.2659984382397517
10,35,36,0.3424322992963374
10,36,37,0.43951242729406725
10,37,38,0.43660353544426284
10,38,39,0.49026986206916595
10,39,40,0.46360345348272997
10,40,41,0.41429177411812984
10,41,42,0.6226397016038142
10,42,43,0.45860638950115445
10,43,44,0.5295545874275712
10,44,45,0.49863097097467196
10,45,46,0.4334805529835091
10,46,47,0.4411124952819298
10,47,48,0.5412743229211149
10,48,49,0.555304486446539
10,49,50,0.3752166979217726
10,50,51,0.46270358473271067
10,51,52,0.5163188717053079
10,52,53,0.5123064152225464
10,53,54,0.5109186466753582
10,54,55,0.4769548891995032
10,55,56,0.48498382635124454
10,56,57,0.49831496475016723
10,57,58,0.5627488139004176
10,58,59,0.5340767730828921
10,59,60,0.5196721917042338
10,60,61,0.4491777713104349
10,61,62,0.449194137569897
10,62,63,0.5902918776302093
10,63,64,0.5192639707031426
10,64,65,0.46630865142323846
10,65,66,0.4679179807387363
10,66,67,0.4033131655204083
10,67,68,0.6628186999595724
10,68,69,0.7124808927285026
10,69,70,0.6442094097986311
10,70,71,0.6714236597355594
10,71,72,0.6233685039356422
10,72,73,0.5166472617235393
10,73,74,0.5862638302073715
10,74,75,0.727434777785102
10,75,76,0.7330254192925539
10,76,77,0.7229896563417629
10,77,78,0.6812173681009464
10,78,79,0.7013794396857519
10,79,80,0.7022599225300167
10,80,81,0.7114293690407958
10,81,82,0.7368585342619133
10,82,83,0.7369542391574003
10,83,84,0.7057605396203491
10,84,85,0.7482279868796454
10,85,86,0.7257871841816367
10,86,87,0.7357598516022821
10,87,88,0.7273435829566702
10,88,89,0.6920270150608517
10,89,90,0.7509268860085418
10,90,91,0.7782000849550759
10,91,92,0.7395758405803757
10,92,93,0.7312265247307803
10,93,94,0.7641128529363657
10,94,95,0.7818567635399885
10,95,96,0.7911472826487199
10,96,97,0.743402035885935
10,97,98,0.7751988495834099
10,98,99,0.7699285463032494
10,99,100,0.7475539070343099
10,100,101,0.7726899629033329
10,101,102,0.7499823887817462
10,102,103,0.7860420042163888
10,103,104,0.7751996566857157
10,104,105,0.7764321040748432
10,105,106,0.8267848015854194
10,106,107,0.7892380557606917
10,107,108,0.7853552582641861
10,108,109,0.830026368268275
10,109,110,0.805659160310119
10,110,111,0.7868709986467824
10,111,112,0.8014297493865352
10,112,113,0.7873067088240381
10,113,114,0.8360833754774997
10,114,115,0.836289688278264
10,115,116,0.7572409490939471
10,116,117,0.8276529839477701
10,117,118,0.8558733473435367
10,118,119,0.8341183723994463
10,119,120,0.7637001603738568
10,120,121,0.8169908692315981
10,121,122,0.8485794555163115
10,122,123,0.8542719169625669
10,123,124,0.8824539721151783
10,124,125,0.820815520505271
10,125,126,0.8042897565661472
10,126,127,0.8553994589050705
10,127,128,0.87817156581878
10,128,129,0.8812264752516209
10,129,130,0.825125680623712
10,130,131,0.8517621154005276
10,131,132,0.873684318468
10,132,133,0.860479823288394
10,133,134,0.8724769229290886
10,134,135,0.8851657128925401
10,135,136,0.8719106441709271
10,136,137,0.8707750177025554
10,137,138,0.8656342783783082
10,138,139,0.870792926799039
10,139,140,0.8773678846919364
10,140,141,0.8727198546190531
10,141,142,0.8670739289879578
10,142,143,0.8694735352952824
10,143,144,0.8696934772934449
10,144,145,0.8750885158292689
10,145,146,0.8629284538577433
10,146,147,0.8641502594604641
10,147,148,0.8796547224990953
10,148,149,0.8599824698089502
10,149,150,0.8562242457469266
10,150,151,0.8894872424839398
10,151,152,0.8847864429551582
10,152,153,0.8840904018596575
10,153,154,0.8690035839485868
10,154,155,0.8869113107957143
10,155,156,0.9000944035378865
11,1,2,0.14444602002730514
11,2,3,0.12222988296155475
11,3,4,0.13809277513234858
11,4,5,0.08304191713082801
11,5,6,0.20541384446850025
11,6,7,0.1759884697971292
11,7,8,0.04771128156695372
11,8,9,0.4223868471084058
11,9,10,0.129951245393146
11,10,11,0.14245949604323632
11,11,12,0.15789967528908605
11,12,13,0.32126391309142316
11,13,14,0.1729584541302781
11,14,15,0.10798417102207296
11,15,16,0.06927125714280473
11,16,17,0.32171775668547997
11,17,18,0.26591450697660246
11,18,19,0.18043663612838845
11,19,20,0.37866450507351723
11,20,21,0.18396514851267823
11,21,22,0.3384293640499955
11,22,23,0.2937646989185518
11,23,24,0.36579509879997624
11,24,25,0.3371137121892805
11,25,26,0.3397054061498278
11,26,27,0.3338241067317155
11,27,28,0.4122401420201501
11,28,29,0.20195944023403037
11,29,30,0.23850226181300602
11,30,31,0.3304226188387568
11,31,32,0.251947918370439
11,32,33,0.2556758756139865
11,33,34,0.3450183024855294
11,34,35,0.46214807265631325
11,35,36,0.3984395198907712
11,36,37,0.537704734982718
